
#####################
#### grain 8

#    orientation:
#
#    q = [7.691974e-01, 6.195888e-01, 1.524858e-01, 3.454275e-02]
#
#    R = [[9.511e-01, 1.358e-01, 2.774e-01],
#         [2.421e-01, 2.298e-01, -9.426e-01],
#         [-1.918e-01, 9.637e-01, 1.857e-01]]
#
#    left stretch tensor:
#
#    V = [[9.999e-01, -1.839e-04, -2.010e-04],
#         [-1.839e-04, 1.001e+00, 5.488e-04],
#         [-2.010e-04, 5.488e-04, 9.995e-01]]
#
#    logarithmic strain tensor (log(V) --> sample frame):
#
#    E = [[-9.029e-05, -1.837e-04, -2.010e-04],
#         [-1.837e-04, 1.005e-03, 5.487e-04],
#         [-2.010e-04, 5.487e-04, -5.371e-04]]
#
#    logarithmic strain tensor (log(U) --> crystal frame):
#
#    E = [[-1.048e-04, 2.217e-05, 1.745e-05],
#         [2.217e-05, -2.685e-04, -8.392e-04],
#         [1.745e-05, -8.392e-04, 7.505e-04]]
#
#    F^-T ( hkl --> (Xs, Ys, Zs), reciprocal lattice to sample frame ):
#
#        [[9.512e-01, 1.361e-01, 2.773e-01],
#         [2.421e-01, 2.291e-01, -9.417e-01],
#         [-1.918e-01, 9.641e-01, 1.864e-01]]
#
#    lattice parameters:
#
#    2.95049, 2.95007, 4.68902, 90.0843, 89.998, 120.002
#
#    COM coordinates (Xs, Ys, Zs):
#    p = (0.60018, -0.00334642, -0.290728)
#
#    reflection table:
#	spotID	hklID	H 	K 	L 	predTTh 	predEta 	predOme 	measTTh 	measEta 	measOme 	diffTTh 	diffEta 	diffOme 	predQx  	predQy  	predQz 		measX   	measY   	measOme
	295	2	-1	1	-1	4.8447e+00	1.5842e+02	-2.8468e+01	4.8494e+00	1.5850e+02	-2.8325e+01	4.7351e-03	8.7757e-02	1.4294e-01	-3.5491e-01	1.6376e-01	2.1387e-01	8.5788e+02	6.3209e+02	-2.8325e+01
	2586	2	0	1	-1	4.8434e+00	1.3923e+02	-8.5796e+01	4.8454e+00	1.3921e+02	-8.5781e+01	2.0093e-03	1.5576e-02	1.5481e-02	-5.9332e-03	2.9064e-01	3.3750e-01	7.3638e+02	7.0397e+02	-8.5781e+01
	2840	2	0	-1	1	4.8434e+00	-4.0773e+01	-9.2189e+01	4.8445e+00	-4.0768e+01	-9.2255e+01	1.0360e-03	5.7721e-03	6.5308e-02	5.9332e-03	-2.9064e-01	-3.3750e-01	1.2902e+03	1.3457e+03	-9.2255e+01
	483	2	1	-1	1	4.8447e+00	-2.1584e+01	-3.3678e+01	4.8478e+00	-2.1512e+01	-3.3756e+01	3.0893e-03	7.1910e-02	7.8359e-02	3.5491e-01	-1.6376e-01	-2.1387e-01	1.1688e+03	1.4211e+03	-3.3756e+01
	3468	2	0	-1	-1	4.8503e+00	1.4467e+01	-1.0759e+02	4.8477e+00	1.4466e+01	-1.0770e+02	2.6012e-03	1.3721e-03	1.0913e-01	-1.1242e-01	1.1134e-01	-4.1706e-01	9.0719e+02	1.4345e+03	-1.0770e+02
	1356	2	1	-1	-1	4.8482e+00	3.2327e+01	-5.3993e+01	4.8471e+00	3.2363e+01	-5.4178e+01	1.0709e-03	3.6063e-02	1.8439e-01	2.3655e-01	2.3822e-01	-2.9343e-01	7.8616e+02	1.3843e+03	-5.4178e+01
	3429	3	0	1	2	6.3013e+00	-1.4732e+02	-1.0685e+02	6.2979e+00	-1.4733e+02	-1.0677e+02	3.4579e-03	5.1803e-03	7.9652e-02	1.7160e-01	-3.1233e-01	4.5684e-01	1.3111e+03	5.5912e+02	-1.0677e+02
	1474	3	-1	1	2	6.2985e+00	-1.3058e+02	-5.7137e+01	6.2968e+00	-1.3056e+02	-5.7257e+01	1.6505e-03	1.8763e-02	1.1962e-01	-1.7738e-01	-4.3921e-01	3.3321e-01	1.4323e+03	6.6725e+02	-5.7257e+01
	5152	3	1	0	2	6.2982e+00	-1.5159e+02	-1.5292e+02	6.2974e+00	-1.5153e+02	-1.5278e+02	7.3780e-04	6.2408e-02	1.4355e-01	4.6733e-01	-2.7510e-01	2.0319e-01	1.2762e+03	5.3615e+02	-1.5278e+02
	2010	3	0	1	-2	6.2908e+00	1.2165e+02	-7.1686e+01	6.2941e+00	1.2167e+02	-7.1736e+01	3.3711e-03	1.2233e-02	4.9730e-02	-6.5111e-02	4.9163e-01	2.9772e-01	5.4401e+02	7.3604e+02	-7.1736e+01
	2498	3	0	-1	2	6.2908e+00	-5.8345e+01	-8.3642e+01	6.2927e+00	-5.8342e+01	-8.3740e+01	1.9457e-03	3.0344e-03	9.8754e-02	6.5111e-02	-4.9163e-01	-2.9772e-01	1.4830e+03	1.3146e+03	-8.3740e+01
	223	3	1	-1	2	6.2930e+00	-3.9147e+01	-2.6857e+01	6.2977e+00	-3.9033e+01	-2.6767e+01	4.6656e-03	1.1446e-01	8.9619e-02	4.1409e-01	-3.6475e-01	-1.7409e-01	1.3609e+03	1.4553e+03	-2.6767e+01
	3731	3	0	-1	-2	6.3013e+00	3.2675e+01	-1.1433e+02	6.2977e+00	3.2681e+01	-1.1427e+02	3.6367e-03	6.0207e-03	6.1008e-02	-1.7160e-01	3.1233e-01	-4.5684e-01	7.1501e+02	1.4880e+03	-1.1427e+02
	1835	3	1	-1	-2	6.2985e+00	4.9424e+01	-6.6807e+01	6.2961e+00	4.9444e+01	-6.6772e+01	2.4004e-03	2.0112e-02	3.4792e-02	1.7738e-01	4.3921e-01	-3.3321e-01	5.9391e+02	1.3845e+03	-6.6772e+01
	4116	4	1	1	0	7.3742e+00	1.6133e+02	-1.2487e+02	7.3715e+00	1.6134e+02	-1.2478e+02	2.7390e-03	3.1656e-03	9.6587e-02	4.0222e-01	2.1653e-01	5.0091e-01	8.0628e+02	4.1005e+02	-1.2478e+02
	1788	4	-1	2	0	7.3745e+00	1.7556e+02	-6.5278e+01	7.3774e+00	1.7553e+02	-6.5260e+01	2.8544e-03	2.4921e-02	1.7969e-02	-2.4249e-01	5.2419e-02	6.3093e-01	9.6278e+02	3.8071e+02	-6.5260e+01
	4394	4	-1	-1	0	7.3742e+00	-1.8667e+01	-1.3265e+02	7.3721e+00	-1.8665e+01	-1.3275e+02	2.1379e-03	1.5604e-03	9.7349e-02	-4.0222e-01	-2.1653e-01	-5.0091e-01	1.2205e+03	1.6359e+03	-1.3275e+02
	2044	4	1	-2	0	7.3745e+00	-4.4437e+00	-7.2675e+01	7.3760e+00	-4.4543e+00	-7.2739e+01	1.4393e-03	1.0609e-02	6.4357e-02	2.4249e-01	-5.2419e-02	-6.3093e-01	1.0635e+03	1.6714e+03	-7.2739e+01
#
#    final completeness for grain 8: 100%
#####################


#####################
#### grain 0

#    orientation:
#
#    q = [7.233085e-01, 5.076225e-01, 4.638187e-01, -6.337584e-02]
#
#    R = [[5.617e-01, 5.626e-01, 6.066e-01],
#         [3.792e-01, 4.766e-01, -7.931e-01],
#         [-7.353e-01, 6.755e-01, 5.438e-02]]
#
#    left stretch tensor:
#
#    V = [[1.000e+00, 8.817e-04, 3.904e-04],
#         [8.817e-04, 1.000e+00, 8.318e-04],
#         [3.904e-04, 8.318e-04, 9.995e-01]]
#
#    logarithmic strain tensor (log(V) --> sample frame):
#
#    E = [[3.317e-04, 8.812e-04, 3.901e-04],
#         [8.812e-04, 2.664e-04, 8.317e-04],
#         [3.901e-04, 8.317e-04, -5.057e-04]]
#
#    logarithmic strain tensor (log(U) --> crystal frame):
#
#    E = [[-5.411e-04, 7.363e-04, 2.034e-04],
#         [7.363e-04, 1.239e-03, -3.968e-04],
#         [2.034e-04, -3.968e-04, -6.058e-04]]
#
#    F^-T ( hkl --> (Xs, Ys, Zs), reciprocal lattice to sample frame ):
#
#        [[5.615e-01, 5.617e-01, 6.071e-01],
#         [3.792e-01, 4.754e-01, -7.935e-01],
#         [-7.362e-01, 6.753e-01, 5.483e-02]]
#
#    lattice parameters:
#
#    2.94921, 2.95127, 4.68266, 90.051, 89.9767, 119.892
#
#    COM coordinates (Xs, Ys, Zs):
#    p = (0.138287, -0.00429871, -0.0595634)
#
#    reflection table:
#	spotID	hklID	H 	K 	L 	predTTh 	predEta 	predOme 	measTTh 	measEta 	measOme 	diffTTh 	diffEta 	diffOme 	predQx  	predQy  	predQz 		measX   	measY   	measOme
	4216	0	0	1	0	4.2494e+00	1.5155e+02	-1.2734e+02	4.2550e+00	1.5158e+02	-1.2732e+02	5.6051e-03	2.6687e-02	2.0020e-02	2.1980e-01	1.8604e-01	2.6425e-01	8.3627e+02	6.9599e+02	-1.2732e+02
	2163	0	-1	1	0	4.2578e+00	-1.7480e+02	-7.5968e+01	4.2568e+00	-1.7482e+02	-7.5869e+01	9.8314e-04	2.5266e-02	9.9663e-02	-8.0378e-02	-3.5496e-02	3.8162e-01	1.0468e+03	6.5317e+02	-7.5869e+01
	4373	0	0	-1	0	4.2494e+00	-2.8447e+01	-1.3217e+02	4.2546e+00	-2.8443e+01	-1.3226e+02	5.1678e-03	3.8045e-03	9.3796e-02	-2.1980e-01	-1.8604e-01	-2.6425e-01	1.1904e+03	1.3501e+03	-1.3226e+02
	2345	0	1	-1	0	4.2578e+00	5.2041e+00	-8.0244e+01	4.2553e+00	5.1654e+00	-8.0264e+01	2.5341e-03	3.8739e-02	2.0720e-02	8.0378e-02	3.5496e-02	-3.8162e-01	9.7971e+02	1.3942e+03	-8.0264e+01
	141	0	1	0	0	4.2524e+00	3.4529e+01	-2.3936e+01	4.2550e+00	3.4603e+01	-2.4055e+01	2.5939e-03	7.4239e-02	1.1890e-01	3.0018e-01	2.2154e-01	-1.1737e-01	8.0196e+02	1.3301e+03	-2.4055e+01
	4641	2	0	1	1	4.8443e+00	1.7785e+02	-1.3927e+02	4.8473e+00	1.7786e+02	-1.3927e+02	2.9606e-03	9.3887e-03	3.3371e-03	3.4937e-01	1.6690e-02	2.7595e-01	9.9738e+02	5.9936e+02	-1.3927e+02
	2919	2	-1	1	1	4.8516e+00	-1.5264e+02	-9.4398e+01	4.8483e+00	-1.5269e+02	-9.4279e+01	3.3228e-03	4.3440e-02	1.1877e-01	4.9192e-02	-2.0485e-01	3.9332e-01	1.2077e+03	6.4672e+02	-9.4279e+01
	428	2	-1	0	1	4.8452e+00	-1.1860e+02	-3.2059e+01	4.8454e+00	-1.1857e+02	-3.2286e+01	1.8117e-04	3.1034e-02	2.2771e-01	-1.7061e-01	-3.9089e-01	1.2908e-01	1.3854e+03	8.2123e+02	-3.2286e+01
	1502	2	-1	1	-1	4.8486e+00	1.6252e+02	-5.7881e+01	4.8479e+00	1.6249e+02	-5.7775e+01	6.2609e-04	2.2340e-02	1.0647e-01	-2.0995e-01	1.3386e-01	3.6992e-01	8.8573e+02	6.1963e+02	-5.7775e+01
	3391	2	0	1	-1	4.8411e+00	1.2697e+02	-1.0564e+02	4.8463e+00	1.2701e+02	-1.0578e+02	5.1612e-03	4.0455e-02	1.3875e-01	9.0233e-02	3.5539e-01	2.5254e-01	6.7491e+02	7.6820e+02	-1.0578e+02
	3722	2	0	-1	1	4.8411e+00	-5.3030e+01	-1.1368e+02	4.8459e+00	-5.3011e+01	-1.1382e+02	4.8364e-03	1.8294e-02	1.4000e-01	-9.0233e-02	-3.5539e-01	-2.5254e-01	1.3519e+03	1.2783e+03	-1.1382e+02
	1688	2	1	-1	1	4.8486e+00	-1.7485e+01	-6.2964e+01	4.8480e+00	-1.7493e+01	-6.2911e+01	5.6590e-04	7.7585e-03	5.3206e-02	2.0995e-01	-1.3386e-01	-3.6992e-01	1.1407e+03	1.4283e+03	-6.2911e+01
	4844	2	0	-1	-1	4.8443e+00	-2.1488e+00	-1.4412e+02	4.8469e+00	-2.1655e+00	-1.4427e+02	2.6185e-03	1.6697e-02	1.4905e-01	-3.4937e-01	-1.6690e-02	-2.7595e-01	1.0292e+03	1.4466e+03	-1.4427e+02
	830	2	1	0	-1	4.8452e+00	6.1401e+01	-4.2161e+01	4.8458e+00	6.1431e+01	-4.2289e+01	5.5173e-04	2.9847e-02	1.2800e-01	1.7061e-01	3.9089e-01	-1.2908e-01	6.4101e+02	1.2265e+03	-4.2289e+01
	3147	2	1	-1	-1	4.8516e+00	2.7356e+01	-9.9860e+01	4.8473e+00	2.7323e+01	-9.9775e+01	4.3499e-03	3.2627e-02	8.4536e-02	-4.9192e-02	2.0485e-01	-3.9332e-01	8.1855e+02	1.4001e+03	-9.9775e+01
	4900	3	0	1	2	6.2988e+00	-1.6469e+02	-1.4575e+02	6.2987e+00	-1.6467e+02	-1.4576e+02	1.5353e-04	2.0831e-02	1.5797e-02	4.7894e-01	-1.5266e-01	2.8765e-01	1.1590e+03	4.9083e+02	-1.4576e+02
	3551	3	-1	1	2	6.3044e+00	-1.3972e+02	-1.0969e+02	6.2997e+00	-1.3973e+02	-1.0976e+02	4.6377e-03	5.1490e-03	7.6178e-02	1.7876e-01	-3.7420e-01	4.0503e-01	1.3699e+03	6.0218e+02	-1.0976e+02
	1608	3	-1	0	2	6.2982e+00	-1.0433e+02	-6.1218e+01	6.2955e+00	-1.0431e+02	-6.1274e+01	2.7455e-03	2.5673e-02	5.6593e-02	-4.1041e-02	-5.6024e-01	1.4078e-01	1.5477e+03	8.8739e+02	-6.1274e+01
	862	3	-1	1	-2	6.2997e+00	1.4838e+02	-4.2837e+01	6.3004e+00	1.4839e+02	-4.2640e+01	7.5253e-04	3.2965e-03	1.9718e-01	-3.3952e-01	3.0321e-01	3.5821e-01	7.2410e+02	5.5417e+02	-4.2640e+01
	2075	3	0	1	-2	6.2939e+00	1.1475e+02	-7.3243e+01	6.2963e+00	1.1476e+02	-7.3269e+01	2.4393e-03	9.8004e-03	2.5883e-02	-3.9337e-02	5.2474e-01	2.4084e-01	5.1261e+02	7.9268e+02	-7.3269e+01
	2667	3	0	-1	2	6.2939e+00	-6.5246e+01	-8.8204e+01	6.2972e+00	-6.5231e+01	-8.8390e+01	3.3385e-03	1.5341e-02	1.8638e-01	3.9337e-02	-5.2474e-01	-2.4084e-01	1.5145e+03	1.2547e+03	-8.8390e+01
	1187	3	1	-1	2	6.2997e+00	-3.1617e+01	-5.0232e+01	6.2983e+00	-3.1633e+01	-5.0174e+01	1.3948e-03	1.5913e-02	5.8544e-02	3.3952e-01	-3.0321e-01	-3.5821e-01	1.3028e+03	1.4939e+03	-5.0174e+01
	5132	3	0	-1	-2	6.2988e+00	1.5307e+01	-1.5228e+02	6.2983e+00	1.5332e+01	-1.5226e+02	5.9115e-04	2.5211e-02	1.3647e-02	-4.7894e-01	1.5266e-01	-2.8765e-01	8.6724e+02	1.5551e+03	-1.5226e+02
	2610	3	1	0	-2	6.2982e+00	7.5667e+01	-8.6277e+01	6.2964e+00	7.5700e+01	-8.6266e+01	1.8162e-03	3.2719e-02	1.1077e-02	4.1041e-02	5.6024e-01	-1.4078e-01	4.7874e+02	1.1597e+03	-8.6266e+01
	3876	3	1	-1	-2	6.3044e+00	4.0279e+01	-1.1794e+02	6.2980e+00	4.0287e+01	-1.1778e+02	6.3524e-03	8.0963e-03	1.6024e-01	-1.7876e-01	3.7420e-01	-4.0503e-01	6.5632e+02	1.4441e+03	-1.1778e+02
	-999	4	1	1	0	7.3621e+00	1.4288e+02	-1.5961e+02	nan       	nan       	nan       	1.4767e-02	3.0481e+00	1.8413e+00	5.1999e-01	4.0758e-01	1.4687e-01	nan       	nan       	nan
	3093	4	-1	2	0	7.3716e+00	1.6714e+02	-9.8401e+01	7.3698e+00	1.6720e+02	-9.8319e+01	1.7502e-03	5.9961e-02	8.2151e-02	1.3943e-01	1.5055e-01	6.4587e-01	8.7003e+02	3.9330e+02	-9.8319e+01
	1141	4	-2	1	0	7.3767e+00	-1.5768e+02	-4.8683e+01	7.3745e+00	-1.5766e+02	-4.8768e+01	2.2101e-03	1.6192e-02	8.4795e-02	-3.8056e-01	-2.5703e-01	4.9899e-01	1.2590e+03	4.2569e+02	-4.8768e+01
	3401	4	1	-2	0	7.3716e+00	-1.2862e+01	-1.0596e+02	7.3775e+00	-1.2790e+01	-1.0599e+02	5.9895e-03	7.2473e-02	2.6282e-02	-1.3943e-01	-1.5055e-01	-6.4587e-01	1.1567e+03	1.6551e+03	-1.0599e+02
	1462	4	2	-1	0	7.3767e+00	2.2322e+01	-5.6655e+01	7.3738e+00	2.2330e+01	-5.6766e+01	2.9018e-03	8.7266e-03	1.1076e-01	3.8056e-01	2.5703e-01	-4.9899e-01	7.6726e+02	1.6226e+03	-5.6766e+01
#
#    final completeness for grain 0: 96.6667%
#####################


#####################
#### grain 42

#    orientation:
#
#    q = [7.301852e-01, 5.236496e-01, 4.024073e-01, -1.751829e-01]
#
#    R = [[6.148e-01, 6.773e-01, 4.042e-01],
#         [1.656e-01, 3.902e-01, -9.057e-01],
#         [-7.711e-01, 6.237e-01, 1.277e-01]]
#
#    left stretch tensor:
#
#    V = [[1.000e+00, -1.672e-05, 1.010e-04],
#         [-1.672e-05, 9.990e-01, 3.043e-04],
#         [1.010e-04, 3.043e-04, 1.000e+00]]
#
#    logarithmic strain tensor (log(V) --> sample frame):
#
#    E = [[2.520e-04, -1.674e-05, 1.010e-04],
#         [-1.674e-05, -1.007e-03, 3.045e-04],
#         [1.010e-04, 3.045e-04, 1.408e-05]]
#
#    logarithmic strain tensor (log(U) --> crystal frame):
#
#    E = [[-1.010e-04, -4.697e-05, 4.159e-04],
#         [-4.697e-05, 1.925e-04, 3.109e-04],
#         [4.159e-04, 3.109e-04, -8.320e-04]]
#
#    F^-T ( hkl --> (Xs, Ys, Zs), reciprocal lattice to sample frame ):
#
#        [[6.147e-01, 6.770e-01, 4.041e-01],
#         [1.660e-01, 3.904e-01, -9.067e-01],
#         [-7.712e-01, 6.235e-01, 1.280e-01]]
#
#    lattice parameters:
#
#    2.9505, 2.95127, 4.6816, 89.993, 89.9523, 119.997
#
#    COM coordinates (Xs, Ys, Zs):
#    p = (-0.538945, 0.0214437, 0.0828456)
#
#    reflection table:
#	spotID	hklID	H 	K 	L 	predTTh 	predEta 	predOme 	measTTh 	measEta 	measOme 	diffTTh 	diffEta 	diffOme 	predQx  	predQy  	predQz 		measX   	measY   	measOme
	4493	0	0	1	0	4.2539e+00	1.5700e+02	-1.3505e+02	4.2566e+00	1.5704e+02	-1.3521e+02	2.7403e-03	3.8762e-02	1.6535e-01	2.6494e-01	1.5278e-01	2.4400e-01	8.6807e+02	6.8252e+02	-1.3521e+02
	2199	0	-1	1	0	4.2546e+00	1.7705e+02	-7.6680e+01	4.2543e+00	1.7704e+02	-7.6762e+01	2.7722e-04	1.3797e-02	8.2710e-02	-7.5841e-02	2.0126e-02	3.8336e-01	9.9386e+02	6.5113e+02	-7.6762e+01
	4671	0	0	-1	0	4.2539e+00	-2.3002e+01	-1.3967e+02	4.2545e+00	-2.2977e+01	-1.3976e+02	6.8191e-04	2.5217e-02	9.7200e-02	-2.6494e-01	-1.5278e-01	-2.4400e-01	1.1583e+03	1.3673e+03	-1.3976e+02
	2379	0	1	-1	0	4.2546e+00	-2.9502e+00	-8.0940e+01	4.2545e+00	-2.9733e+00	-8.0778e+01	9.2430e-05	2.3126e-02	1.6227e-01	7.5841e-02	-2.0126e-02	-3.8336e-01	1.0324e+03	1.3936e+03	-8.0778e+01
	132	0	1	0	0	4.2550e+00	1.9828e+01	-2.4504e+01	4.2566e+00	1.9903e+01	-2.4389e+01	1.6458e-03	7.5386e-02	1.1476e-01	3.4078e-01	1.3265e-01	-1.3936e-01	8.8640e+02	1.3704e+03	-2.4389e+01
	5302	1	0	0	2	4.6451e+00	-1.1495e+02	-1.5694e+02	4.6439e+00	-1.1486e+02	-1.5679e+02	1.1209e-03	9.0072e-02	1.4713e-01	1.7247e-01	-3.8701e-01	5.4616e-02	1.3814e+03	8.5475e+02	-1.5679e+02
	4664	2	0	1	1	4.8456e+00	-1.7475e+02	-1.3988e+02	4.8464e+00	-1.7472e+02	-1.3978e+02	8.1134e-04	3.6043e-02	1.0001e-01	3.5118e-01	-4.0725e-02	2.7131e-01	1.0521e+03	6.0328e+02	-1.3978e+02
	2693	2	-1	1	1	4.8484e+00	-1.5710e+02	-8.8819e+01	4.8460e+00	-1.5713e+02	-8.8776e+01	2.3266e-03	3.0856e-02	4.2994e-02	1.0396e-02	-1.7338e-01	4.1067e-01	1.1776e+03	6.3254e+02	-8.8776e+01
	326	2	-1	0	1	4.8499e+00	-1.3296e+02	-2.9660e+01	4.8471e+00	-1.3288e+02	-2.9770e+01	2.8611e-03	7.0838e-02	1.1000e-01	-2.5454e-01	-3.2615e-01	1.6667e-01	1.3235e+03	7.3221e+02	-2.9770e+01
	1682	2	-1	1	-1	4.8467e+00	1.5133e+02	-6.2763e+01	4.8468e+00	1.5133e+02	-6.2778e+01	1.3071e-04	3.1659e-03	1.4608e-02	-1.6208e-01	2.1363e-01	3.5606e-01	8.0994e+02	6.5001e+02	-6.2778e+01
	4158	2	0	1	-1	4.8481e+00	1.2898e+02	-1.2566e+02	4.8502e+00	1.2904e+02	-1.2579e+02	2.1063e-03	5.5756e-02	1.3110e-01	1.7870e-01	3.4628e-01	2.1669e-01	6.8396e+02	7.5748e+02	-1.2579e+02
	4412	2	0	-1	1	4.8481e+00	-5.1017e+01	-1.3336e+02	4.8485e+00	-5.0985e+01	-1.3335e+02	4.0747e-04	3.1690e-02	8.2175e-03	-1.7870e-01	-3.4628e-01	-2.1669e-01	1.3426e+03	1.2916e+03	-1.3335e+02
	1886	2	1	-1	1	4.8467e+00	-2.8666e+01	-6.8286e+01	4.8483e+00	-2.8665e+01	-6.8280e+01	1.5861e-03	1.1336e-03	5.9815e-03	1.6208e-01	-2.1363e-01	-3.5606e-01	1.2165e+03	1.3938e+03	-6.8280e+01
	4882	2	0	-1	-1	4.8456e+00	5.2480e+00	-1.4474e+02	4.8447e+00	5.2838e+00	-1.4477e+02	9.1249e-04	3.5776e-02	2.6212e-02	-3.5118e-01	4.0725e-02	-2.7131e-01	9.7406e+02	1.4470e+03	-1.4477e+02
	623	2	1	0	-1	4.8499e+00	4.7044e+01	-3.6772e+01	4.8494e+00	4.7089e+01	-3.6786e+01	5.5124e-04	4.4947e-02	1.3055e-02	2.5454e-01	3.2615e-01	-1.6667e-01	7.0250e+02	1.3094e+03	-3.6786e+01
	2925	2	1	-1	-1	4.8484e+00	2.2903e+01	-9.4082e+01	4.8467e+00	2.2878e+01	-9.4252e+01	1.6845e-03	2.5128e-02	1.7059e-01	-1.0396e-02	1.7338e-01	-4.1067e-01	8.4833e+02	1.4134e+03	-9.4252e+01
	4770	3	0	1	2	6.2982e+00	-1.5610e+02	-1.4224e+02	6.2993e+00	-1.5606e+02	-1.4226e+02	1.1470e-03	4.1677e-02	2.5334e-02	4.3741e-01	-2.3423e-01	2.9862e-01	1.2368e+03	5.2110e+02	-1.4226e+02
	3083	3	-1	1	2	6.3019e+00	-1.4065e+02	-9.8370e+01	6.2988e+00	-1.4064e+02	-9.8273e+01	3.1744e-03	3.1018e-03	9.7205e-02	9.6633e-02	-3.6688e-01	4.3798e-01	1.3627e+03	5.9683e+02	-9.8273e+01
	832	3	-1	0	2	6.3041e+00	-1.1612e+02	-4.1924e+01	6.3017e+00	-1.1606e+02	-4.2250e+01	2.4648e-03	6.2239e-02	3.2544e-01	-1.6831e-01	-5.1966e-01	1.9398e-01	1.5088e+03	7.7839e+02	-4.2250e+01
